subject_id,name_cn,name,score,total,year,company,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
326,攻壳机动队 S.A.C. 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,9.2,9393,2004.0,Production I.G,39,8,11,8,27,84,325,1338,3136,4417
876,CLANNAD 〜AFTER STORY〜,CLANNAD 〜AFTER STORY〜,9.1,29174,2008.0,京都アニメーション,151,51,49,83,240,592,1417,3576,7335,15680
25961,猫和老鼠,Tom and Jerry,9.1,13171,1940.0,Metro-Goldwyn-Mayer cartoon studio→Rembrandt Films cartoons→Sib Tower 12 cartoons→Hanna-Barbera Productions / Turner Entertainment,61,15,13,11,38,194,653,1908,3678,6600
253,星际牛仔,カウボーイビバップ,9.1,18354,1998.0,サンライズ,61,13,16,24,100,279,854,2709,5897,8401
324,攻壳机动队 STAND ALONE COMPLEX,攻殻機動隊 STAND ALONE COMPLEX,9.1,10745,2002.0,Production I.G,30,4,9,18,50,142,394,1757,3982,4359
1728,浪客剑心 追忆篇,るろうに剣心 -明治剣客浪漫譚- 追憶編,8.9,8960,1999.0,,11,2,6,7,31,139,564,1930,3383,2887
6049,新世纪福音战士剧场版 Air/真心为你,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,8.9,20162,1997.0,,57,14,15,57,116,404,1396,3961,7170,6972
237,攻壳机动队,GHOST IN THE SHELL / 攻殻機動隊,8.9,11880,1995.0,Production I.G,21,7,7,13,61,175,693,2682,4795,3426
10380,命运石之门,STEINS;GATE,8.8,37127,2011.0,WHITE FOX,81,29,31,73,254,767,2583,7895,13769,11645
211567,3月的狮子 第二季,3月のライオン 第2シリーズ,8.8,9813,2017.0,SHAFT,28,8,6,18,68,178,687,2358,3427,3035
1428,钢之炼金术师 FULLMETAL ALCHEMIST,鋼の錬金術師 FULLMETAL ALCHEMIST,8.8,23224,2009.0,BONES,187,29,28,53,203,497,1629,4980,8196,7422
321,机动警察剧场版2 和平保卫战,機動警察パトレイバー 2 the Movie,8.8,3708,1993.0,,11,6,7,6,17,83,253,874,1331,1120
839,蓝色恐惧,PERFECT BLUE,8.8,10470,1998.0,,12,10,10,14,52,168,665,2649,4479,2411
110467,白箱,SHIROBAKO,8.7,21834,2014.0,P.A.WORKS,35,17,15,35,111,372,1523,5870,8309,5547
2907,银河英雄传说,銀河英雄伝説,8.8,2727,1988.0,キティ・フィルム三鷹スタジオ(1～3期)、ティー・ビー・オー(1～2期)、ケイファクトリー(4期),13,6,6,11,24,76,195,576,923,897
3375,凉宫春日的消失,涼宮ハルヒの消失,8.7,22760,2010.0,,42,13,20,36,139,490,1849,5738,8308,6125
265,新世纪福音战士,新世紀エヴァンゲリオン,8.7,31734,1995.0,タツノコプロ、GAINAX,125,41,70,106,268,950,2677,6903,10843,9751
263750,进击的巨人 第三季 Part.2,進撃の巨人 Season 3 Part.2,8.7,21195,2019.0,,142,27,31,43,117,403,1473,5419,7777,5763
840,千年女优,千年女優,8.7,11979,2001.0,"ジェンコ、MADHOUSE,MADHOUSE",14,6,7,20,68,236,988,3103,4573,2964
238,攻壳机动队2 无罪,イノセンス,8.7,7690,2004.0,Production I.G,18,6,6,16,51,155,582,1983,2930,1943
11834,银魂',銀魂',8.7,13053,2011.0,サンライズ,93,24,28,31,107,349,1195,3098,3709,4419
340,虫师,蟲師,8.7,11205,2005.0,ARTLAND,19,8,10,18,85,251,947,2836,4132,2899
247,银魂,銀魂,8.7,13079,2006.0,サンライズ,80,30,28,44,116,367,1177,3187,3971,4079
93739,乒乓,ピンポン THE ANIMATION,8.7,16025,2014.0,"タツノコプロ,アニメ「ピンポン」製作委員会（フジテレビジョン、Aniplex、京楽産業ホールディングス、電通）",22,7,17,27,79,288,1317,4406,6523,3339
